time,gibbs,gibbs,,
372,0.154453454,0.447559018,-1.2349E-05,-0.005853549
373,0.154453454,0.447371623,-1.2349E-05,-0.006040944
374,0.154453454,0.44717709,-1.2349E-05,-0.006235477
375,0.154453454,0.446975088,-1.2349E-05,-0.006437479
376,0.154453453,0.446765272,-1.235E-05,-0.006647295
377,0.154453453,0.446547276,-1.235E-05,-0.006865291
378,0.154453453,0.446320713,-1.235E-05,-0.007091854
379,0.154453453,0.446085176,-1.235E-05,-0.007327391
380,0.154453453,0.445840234,-1.235E-05,-0.007572333
381,0.154453452,0.445585435,-1.2351E-05,-0.007827132
382,0.154453452,0.445320298,-1.2351E-05,-0.008092269
383,0.154453452,0.445044317,-1.2351E-05,-0.00836825
384,0.154453452,0.444756957,-1.2351E-05,-0.00865561
385,0.154453452,0.444457652,-1.2351E-05,-0.008954915
386,0.154453451,0.444145805,-1.2352E-05,-0.009266762
387,0.154453451,0.443820786,-1.2352E-05,-0.009591781
388,0.154453451,0.443481926,-1.2352E-05,-0.009930641
389,0.154453451,0.443128522,-1.2352E-05,-0.010284045
390,0.154453451,0.442759829,-1.2352E-05,-0.010652738
391,0.15445345,0.442375062,-1.2353E-05,-0.011037505
392,0.15445345,0.441973392,-1.2353E-05,-0.011439175
393,0.15445345,0.441553944,-1.2353E-05,-0.011858623
394,0.15445345,0.441115797,-1.2353E-05,-0.01229677
395,0.15445345,0.440657981,-1.2353E-05,-0.012754586
396,0.154453449,0.440179473,-1.2354E-05,-0.013233094
397,0.154453449,0.439679202,-1.2354E-05,-0.013733365
398,0.154453449,0.439156045,-1.2354E-05,-0.014256522
399,0.154453449,0.438608824,-1.2354E-05,-0.014803743
400,0.154453449,0.438036314,-1.2354E-05,-0.015376253
401,0.154453449,0.437437236,-1.2354E-05,-0.015975331
402,0.154453448,0.436810268,-1.2355E-05,-0.016602299
403,0.154453448,0.436154044,-1.2355E-05,-0.017258523
404,0.154453448,0.435467165,-1.2355E-05,-0.017945402
405,0.154453448,0.434748204,-1.2355E-05,-0.018664363
406,0.154453448,0.433995719,-1.2355E-05,-0.019416848
407,0.154453447,0.43320827,-1.2356E-05,-0.020204297
408,0.154453447,0.432384435,-1.2356E-05,-0.021028132
409,0.154453447,0.431522837,-1.2356E-05,-0.02188973
410,0.154453447,0.430622169,-1.2356E-05,-0.022790398
411,0.154453447,0.429681232,-1.2356E-05,-0.023731335
412,0.154453446,0.428698968,-1.2357E-05,-0.024713599
413,0.154453446,0.427674512,-1.2357E-05,-0.025738055
414,0.154453446,0.426607231,-1.2357E-05,-0.026805336
415,0.154453446,0.425496782,-1.2357E-05,-0.027915785
416,0.154453446,0.424343156,-1.2357E-05,-0.029069411
417,0.154453446,0.423146726,-1.2357E-05,-0.030265841
418,0.154453445,0.421908279,-1.2358E-05,-0.031504288
419,0.154453445,0.420629036,-1.2358E-05,-0.032783531
420,0.154453445,0.419310648,-1.2358E-05,-0.034101919
421,0.154453445,0.417955172,-1.2358E-05,-0.035457395
422,0.154453445,0.416565011,-1.2358E-05,-0.036847556
423,0.154453444,0.415142831,-1.2359E-05,-0.038269736
424,0.154453444,0.413691466,-1.2359E-05,-0.039721101
425,0.154453444,0.4122138,-1.2359E-05,-0.041198767
426,0.154453444,0.410712666,-1.2359E-05,-0.042699901
427,0.154453444,0.409190761,-1.2359E-05,-0.044221806
428,0.154453443,0.407650584,-1.236E-05,-0.045761983
429,0.154453443,0.406094415,-1.236E-05,-0.047318152
430,0.154453443,0.404524319,-1.236E-05,-0.048888248
431,0.154453443,0.402942191,-1.236E-05,-0.050470376
432,0.154453443,0.401349807,-1.236E-05,-0.05206276
433,0.154453442,0.399748893,-1.2361E-05,-0.053663674
434,0.154453442,0.3981412,-1.2361E-05,-0.055271367
435,0.154453442,0.39652856,-1.2361E-05,-0.056884007
436,0.154453442,0.394912943,-1.2361E-05,-0.058499624
437,0.154453442,0.393296482,-1.2361E-05,-0.060116085
438,0.154453442,0.391681488,-1.2361E-05,-0.061731079
439,0.154453441,0.390070428,-1.2362E-05,-0.063342139
440,0.154453441,0.388465889,-1.2362E-05,-0.064946678
441,0.154453441,0.386870517,-1.2362E-05,-0.06654205
442,0.154453441,0.385286957,-1.2362E-05,-0.06812561
443,0.154453441,0.383717781,-1.2362E-05,-0.069694786
444,0.15445344,0.38216543,-1.2363E-05,-0.071247137
445,0.15445344,0.380632166,-1.2363E-05,-0.072780401
446,0.15445344,0.379120046,-1.2363E-05,-0.074292521
447,0.15445344,0.377630904,-1.2363E-05,-0.075781663
448,0.15445344,0.376166349,-1.2363E-05,-0.077246218
449,0.154453439,0.37472777,-1.2364E-05,-0.078684797
450,0.154453439,0.37331634,-1.2364E-05,-0.080096227
451,0.154453439,0.37193303,-1.2364E-05,-0.081479537
452,0.154453439,0.370578615,-1.2364E-05,-0.082833952
453,0.154453439,0.369253682,-1.2364E-05,-0.084158885
